frame,model1_herding_cohesion,model2_intercept_cohesion,model3_coordination_cohesion,model1_boid_count,model2_boid_count,model3_boid_count
2310,334.14,273.06,141.11,70,56,79
2320,328.15,274.88,143.81,70,56,79
2330,320.74,278.62,144.15,70,56,79
2340,312.35,284.31,141.81,70,56,79
2350,302.24,294.19,138.20,70,56,79
2360,290.61,306.79,134.34,70,56,79
2370,277.54,320.59,129.92,70,56,79
2380,261.51,330.44,124.23,70,56,79
2390,245.74,332.35,119.49,70,56,79
2400,232.39,329.32,115.42,70,53,79
2410,220.09,320.75,111.29,70,53,79
2420,208.18,309.75,108.71,70,53,79
2430,196.90,291.75,107.68,70,53,79
2440,185.40,269.47,108.07,70,53,79
2450,172.98,245.69,109.62,70,53,79
2460,159.02,223.71,112.31,70,53,79
2470,144.59,205.04,115.59,70,53,79
2480,130.56,191.14,119.25,70,53,79
2490,124.35,185.85,122.54,70,51,79
2500,124.38,187.36,126.74,70,51,79
2510,127.49,194.66,130.89,70,51,79
2520,132.08,201.60,133.12,70,51,79
2530,138.57,206.17,132.73,70,51,79
2540,148.44,204.98,129.99,70,50,79
2550,161.48,208.81,126.53,70,50,79
2560,176.17,215.09,123.03,70,50,79
2570,191.46,224.03,121.19,70,50,79
2580,207.96,237.82,121.31,70,50,79
2590,225.73,256.12,123.54,70,50,79
2600,243.18,277.26,126.30,70,50,79
2610,259.22,298.35,128.35,70,50,79
2620,276.28,315.29,129.21,70,50,79
2630,294.02,330.75,128.55,70,50,79
2640,309.49,350.69,128.69,70,49,79
2650,320.34,375.02,129.78,70,49,79
2660,326.98,403.36,129.15,69,49,79
2670,325.13,433.53,126.60,69,49,79
2680,322.24,464.13,124.40,69,49,79
2690,320.85,493.86,122.34,69,49,79
2700,320.95,515.33,117.91,69,49,79
2710,321.73,514.94,111.51,69,49,79
2720,321.49,494.59,107.37,69,49,79
2730,321.06,479.04,103.94,69,46,79
2740,321.42,458.15,101.75,69,42,79
2750,321.61,428.47,100.25,69,40,79
2760,320.89,403.59,99.12,69,40,79
2770,322.75,380.76,98.53,69,40,79
2780,328.44,361.02,98.32,69,40,79
2790,337.39,342.09,98.12,69,40,79
2800,346.90,322.13,97.67,69,40,79
